Loc Type,A,B,AT,FT,Source ID,AT Grp,FT Grp,Location,Road,Dir,Estimated Volume,Observed Volume,Errors,Squared Errors,Percent Errors
SF Screenline,52838,7973,1.0,2.0,404899,Core/CBD,Fwy/Ramp,Bay Bridge Mainline,I-80,E,157581.19239,126432.21766344878,31148.974726551227,970258626.5153271,24.63689659345136
SF Screenline,7972,52839,1.0,2.0,404916,Core/CBD,Fwy/Ramp,Bay Bridge Mainline,I-80,W,138513.42871,132620.64285714284,5892.785852857167,34724925.10763357,4.4433398345118835
SF Screenline,40029,52118,3.0,2.0,405838,Urb,Fwy/Ramp,SF/SM County Line,US-101,N,127594.33984,114949.66666666645,12644.673173333547,159887759.66042107,11.000182549463885
SF Screenline,52264,7732,3.0,2.0,405870,Urb,Fwy/Ramp,SF/SM County Line,US-101,S,121390.76513,122190.9999999998,-800.2348699997965,640375.8471635912,-0.6549049193474134
SF Screenline,52234,52271,2.0,2.0,404617,UrbBiz,Fwy/Ramp,SF/SM County Line,I-280,N,92752.15185999998,73155.99999999972,19596.15186000026,384009167.72019166,26.786800617858187
SF Screenline,52136,52137,2.0,2.0,404647,UrbBiz,Fwy/Ramp,SF/SM County Line,I-280,S,92431.74219000002,74506.3333333332,17925.40885666682,321320282.67866933,24.058906209315793
SF Screenline,27628,52102,3.0,3.0,416144,Urb,Fwy/Ramp,GG Bridge Alt,SR1,N,38070.129519999995,34332.48,3737.6495199999918,13970023.934356168,10.88662840552151
SF Screenline,52101,27628,3.0,3.0,416145,Urb,Fwy/Ramp,GG Bridge Alt,SR1,S,34838.23669,29186.78,5651.456689999999,31938962.718945745,19.36307016395779
101/280,7144,6956,4.0,2.0,1019,Sub,Fwy/Ramp,US-101 South of Harney Way off-ramp,,N,130102.00195,114949.66666666645,15152.335283333552,229593264.53855488,13.181713112115952
101/280,52155,52158,2.0,2.0,1032,UrbBiz,Fwy/Ramp,US-101 18th St Overcrossing,,N,158731.11035,114251.99999999985,44479.11035000015,1978391257.5274904,38.93070611455397
101/280,52160,52154,2.0,2.0,2001,UrbBiz,Fwy/Ramp,US-101 South of I-80 on-ramp,,S,151074.91895,133385.99999999997,17688.91895000002,312897853.61966985,13.261450939378964
101/280,52113,52169,2.0,2.0,2003,UrbBiz,Fwy/Ramp,US-101 Between Cesar Chavez on-ramp and I-280 SB off-ramp,,S,148173.90428999998,132511.99999999994,15661.904290000035,245295245.9891215,11.819234703272189
101/280,6980,6994,4.0,2.0,2013,Sub,Fwy/Ramp,US-101 South of Alana Way on-ramp,,S,125381.42872000001,122190.9999999998,3190.4287200002145,10178835.417402208,2.611017767266181
101/280,52127,52115,2.0,2.0,3010,UrbBiz,Fwy/Ramp,I-280 Between US-101 NB off-ramp and US-101 NB on-ramp,,N,41933.64985,33010.99999999989,8922.64985000011,79613680.345707,27.02932310442016
101/280,52146,52161,2.0,2.0,3013,UrbBiz,Fwy/Ramp,I-280 Between Indiana St on-ramp and Mariposa St off-ramp,,N,75780.72546999999,48933.833333333285,26846.892136666705,720755617.3978165,54.86366039175362
101/280,52507,52125,2.0,2.0,4008,UrbBiz,Fwy/Ramp,I-280 South of the US-101 off-ramp,,S,43145.848359999996,30364.99999999993,12780.848360000065,163350084.80131635,42.09072405730313
101/280,52129,52301,2.0,2.0,4013,UrbBiz,Fwy/Ramp,I-280 Between Monterey Blvd off-ramp and San Jose Ave on-ramp,,S,75089.67017000001,75841.33333333323,-751.6631633332145,564997.5111120946,-0.9910996158645445
101/280,6956,40003,4.0,5.0,119,Sub,Fwy/Ramp,US-101 Harney Way,,N,6393.386670000001,3033.666666666658,3359.720003333343,11287718.500798197,110.74783001867989
101/280,40003,40029,3.0,5.0,120,Urb,Fwy/Ramp,US-101 Harney Way,,N,3885.72631,2997.333333333328,888.392976666672,789242.08099067,29.639445395907703
101/280,52118,52120,3.0,5.0,121,Urb,Fwy/Ramp,US-101 3rd St Off,,N,19180.63539,4747.333333333322,14433.302056666678,208320208.25897858,304.02967399241777
101/280,52120,52121,3.0,15.0,122,Urb,Art,US-101 Paul Ave,,N,4756.08218,4171.666666666656,584.4155133333443,341541.4922246763,14.00916132640861
101/280,52119,52233,3.0,5.0,123,Urb,Fwy/Ramp,US-101 3rd St On,,N,26216.18458,20207.999999999978,6008.184580000023,36098281.94735005,29.731713083927303
