Loc Type,A,B,Source ID,AT Grp,FT Grp,AM_est,MD_est,PM_est,EV_est,EA_est,Daily_est,AT,FT,Daily_obs,AM_obs,MD_obs,PM_obs,EV_obs,EA_obs,AM_ratio,AM_diff,AM_pctdiff,AM_absdiff,AM_rmse,MD_ratio,MD_diff,MD_pctdiff,MD_absdiff,MD_rmse,PM_ratio,PM_diff,PM_pctdiff,PM_absdiff,PM_rmse,EV_ratio,EV_diff,EV_pctdiff,EV_absdiff,EV_rmse,EA_ratio,EA_diff,EA_pctdiff,EA_absdiff,EA_rmse,Daily_ratio,Daily_diff,Daily_pctdiff,Daily_absdiff,Daily_rmse,AB
SF Screenline,52838,7973,404899,Core/CBD,Fwy/Ramp,22327.91797,50158.64453,33011.57422,47510.50391,4572.55176,157581.19239,1.0,2.0,126432.21766344878,14538.132145285299,41072.39452469221,23898.20585555616,43701.91417830153,3221.5709596135657,1.5358175140291952,7789.7858247147,53.58175140291952,7789.7858247147,7789.7858247147,1.221225231946125,9086.25000530779,22.122523194612505,9086.25000530779,9086.25000530779,1.3813411106894893,9113.368364443842,38.134111068948926,9113.368364443842,9113.368364443842,1.0871492657314648,3808.58973169847,8.714926573146482,3808.58973169847,3808.58973169847,1.4193546618474882,1350.9808003864346,41.93546618474881,1350.9808003864346,1350.9808003864346,1.2463689659345136,31148.974726551227,24.63689659345136,31148.974726551227,31148.974726551227,52838 7973
SF Screenline,7972,52839,404916,Core/CBD,Fwy/Ramp,31327.37695,43441.95703,22928.73828,27834.32227,12981.03418,138513.42871,1.0,2.0,132620.64285714284,24315.142857142855,44166.2738095238,18816.54761904762,27077.22619047619,18245.4523809524,1.2883895905549747,7012.234092857147,28.838959055497476,7012.234092857147,7012.234092857147,0.9836002289292601,-724.3167795238041,-1.6399771070739861,724.3167795238041,724.3167795238041,1.2185411874806245,4112.190660952383,21.854118748062447,4112.190660952383,4112.190660952383,1.0279606217489923,757.0960795238097,2.79606217489922,757.0960795238097,757.0960795238097,0.711466830691013,-5264.418200952399,-28.853316930898703,5264.418200952399,5264.418200952399,1.0444333983451188,5892.785852857167,4.4433398345118835,5892.785852857167,5892.785852857167,7972 52839
SF Screenline,40029,52118,405838,Urb,Fwy/Ramp,21682.55078,44758.20703,24779.46875,31187.93945,5186.17383,127594.33984,3.0,2.0,114949.66666666645,19146.3333333333,39175.3333333333,20811.1666666666,29416.1666666666,6400.66666666666,1.1324649165201366,2536.217446666702,13.246491652013647,2536.217446666702,2536.217446666702,1.142509921974713,5582.873696666698,14.250992197471291,5582.873696666698,5582.873696666698,1.190681384993637,3968.3020833334012,19.06813849936371,3968.3020833334012,3968.3020833334012,1.0602312600214192,1771.772783333403,6.02312600214193,1771.772783333403,1771.772783333403,0.8102552593479855,-1214.49283666666,-18.97447406520146,1214.49283666666,1214.49283666666,1.1100018254946389,12644.673173333547,11.000182549463885,12644.673173333547,12644.673173333547,40029 52118
SF Screenline,52264,7732,405870,Urb,Fwy/Ramp,21533.55859,41527.47266,21902.73633,29498.21484,6928.78271,121390.76513,3.0,2.0,122190.9999999998,21628.6666666666,42740.3333333333,19603.8333333333,29964.1666666666,8254.0,0.9956026842462196,-95.10807666659821,-0.43973157537804075,95.10807666659821,95.10807666659821,0.9716225733694176,-1212.8606733333,-2.8377426630582376,1212.8606733333,1212.8606733333,1.1172680341429841,2298.9029966667003,11.726803414298416,2298.9029966667003,2298.9029966667003,0.9844496984731785,-465.9518266665982,-1.5550301526821457,465.9518266665982,465.9518266665982,0.8394454458444391,-1325.2172899999996,-16.05545541555609,1325.2172899999996,1325.2172899999996,0.9934509508065259,-800.2348699997965,-0.6549049193474134,800.2348699997965,800.2348699997965,52264 7732
SF Screenline,52234,52271,404617,UrbBiz,Fwy/Ramp,17917.69922,34435.75,16867.47266,20827.01172,2704.21826,92752.15185999998,2.0,2.0,73155.99999999972,15427.9999999999,24443.1666666666,14241.6666666666,15928.8333333333,3114.33333333333,1.1613753707544798,2489.6992200000986,16.137537075447984,2489.6992200000986,2489.6992200000986,1.4088088695545489,9992.583333333401,40.88088695545488,9992.583333333401,9992.583333333401,1.1843749088355817,2625.805993333399,18.437490883558183,2625.805993333399,2625.805993333399,1.3075039008925142,4898.178386666699,30.750390089251418,4898.178386666699,4898.178386666699,0.8683136872524895,-410.11507333332975,-13.16863127475105,410.11507333332975,410.11507333332975,1.2678680061785819,19596.15186000026,26.786800617858187,19596.15186000026,19596.15186000026,52234 52271
101/280,52234,52271,3001,UrbBiz,Fwy/Ramp,17917.69922,34435.75,16867.47266,20827.01172,2704.21826,92752.15185999998,2.0,2.0,73155.99999999972,15427.9999999999,24443.1666666666,14241.6666666666,15928.8333333333,3114.33333333333,1.1613753707544798,2489.6992200000986,16.137537075447984,2489.6992200000986,2489.6992200000986,1.4088088695545489,9992.583333333401,40.88088695545488,9992.583333333401,9992.583333333401,1.1843749088355817,2625.805993333399,18.437490883558183,2625.805993333399,2625.805993333399,1.3075039008925142,4898.178386666699,30.750390089251418,4898.178386666699,4898.178386666699,0.8683136872524895,-410.11507333332975,-13.16863127475105,410.11507333332975,410.11507333332975,1.2678680061785819,19596.15186000026,26.786800617858187,19596.15186000026,19596.15186000026,52234 52271
SF Screenline,52136,52137,404647,UrbBiz,Fwy/Ramp,12416.52539,34191.75781,20163.81836,23355.00977,2304.63086,92431.74219000002,2.0,2.0,74506.3333333332,10028.0,26261.9999999999,18467.3333333333,18177.0,1572.0,1.2381856192660552,2388.5253900000007,23.81856192660551,2388.5253900000007,2388.5253900000007,1.3019479784479526,7929.757810000101,30.194797844795257,7929.757810000101,7929.757810000101,1.0918641038229688,1696.4850266667017,9.186410382296875,1696.4850266667017,1696.4850266667017,1.2848660268471146,5178.009770000001,28.486602684711453,5178.009770000001,5178.009770000001,1.4660501653944022,732.6308600000002,46.60501653944022,732.6308600000002,732.6308600000002,1.240589062093158,17925.40885666682,24.058906209315793,17925.40885666682,17925.40885666682,52136 52137
101/280,52136,52137,4017,UrbBiz,Fwy/Ramp,12416.52539,34191.75781,20163.81836,23355.00977,2304.63086,92431.74219000002,2.0,2.0,74506.3333333332,10028.0,26261.9999999999,18467.3333333333,18177.0,1572.0,1.2381856192660552,2388.5253900000007,23.81856192660551,2388.5253900000007,2388.5253900000007,1.3019479784479526,7929.757810000101,30.194797844795257,7929.757810000101,7929.757810000101,1.0918641038229688,1696.4850266667017,9.186410382296875,1696.4850266667017,1696.4850266667017,1.2848660268471146,5178.009770000001,28.486602684711453,5178.009770000001,5178.009770000001,1.4660501653944022,732.6308600000002,46.60501653944022,732.6308600000002,732.6308600000002,1.240589062093158,17925.40885666682,24.058906209315793,17925.40885666682,17925.40885666682,52136 52137
SF Screenline,27628,52102,416144,Urb,Fwy/Ramp,4994.34814,14436.73438,7527.00391,10188.46289,923.5802,38070.129519999995,3.0,3.0,34332.48,5352.26,13373.825,7193.52,7656.245000000002,756.63,0.9331288352957442,-357.91186000000016,-6.687116470425581,357.91186000000016,357.91186000000016,1.0794768422646475,1062.9093799999991,7.947684226464748,1062.9093799999991,1062.9093799999991,1.0463589327617078,333.4839099999999,4.6358932761707745,333.4839099999999,333.4839099999999,1.3307388791764108,2532.217889999999,33.07388791764107,2532.217889999999,2532.217889999999,1.2206497231143358,166.9502,22.064972311433593,166.9502,166.9502,1.108866284055215,3737.6495199999918,10.88662840552151,3737.6495199999918,3737.6495199999918,27628 52102
SF Screenline,52101,27628,416145,Urb,Fwy/Ramp,7076.16455,14543.58398,5506.37158,6108.99707,1603.11951,34838.23669,3.0,3.0,29186.78,6073.51,11323.735,6011.635,5007.42,770.48,1.165086506814017,1002.6545500000002,16.508650681401697,1002.6545500000002,1002.6545500000002,1.2843451370064733,3219.848979999999,28.434513700647347,3219.848979999999,3219.848979999999,0.9159524122805194,-505.2634200000002,-8.404758771948067,505.2634200000002,505.2634200000002,1.21998895039761,1101.5770700000003,21.998895039761,1101.5770700000003,1101.5770700000003,2.080676344616343,832.63951,108.0676344616343,832.63951,832.63951,1.193630701639578,5651.456689999999,19.36307016395779,5651.456689999999,5651.456689999999,52101 27628
